                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.33732,                0.52432,                 1.1262,                0.90258,                0.92068,                0.95165,                0.85112,                0.53276,                0.54288,                0.94662,              0.0033771,              0.0033771,              0.0033771
                     36,                 0.3336,                0.52224,                  1.123,                0.93147,                0.86521,                0.94897,                 0.8588,                0.52269,                0.55156,                0.89566,                 0.0033,                 0.0033,                 0.0033
                     37,                0.33327,                0.50728,                 1.1248,                0.92094,                 0.9004,                0.95542,                0.86353,                0.49995,                 0.5115,                0.89156,              0.0032229,              0.0032229,              0.0032229
                     38,                0.33287,                0.51232,                 1.1251,                0.93344,                  0.895,                0.94425,                0.85949,                0.48341,                0.51246,                0.86796,              0.0031457,              0.0031457,              0.0031457
                     39,                 0.3275,                0.50649,                 1.1249,                0.92116,                0.90857,                0.95103,                0.86426,                0.50841,                0.54457,                0.91569,              0.0030686,              0.0030686,              0.0030686
                     40,                0.32451,                0.50908,                 1.1192,                0.91398,                0.89541,                 0.9479,                0.86326,                0.51143,                 0.5529,                0.90325,              0.0029914,              0.0029914,              0.0029914
                     41,                0.31985,                 0.4972,                 1.1183,                0.90839,                0.91533,                0.95729,                0.86898,                0.51683,                0.53261,                0.91994,              0.0029143,              0.0029143,              0.0029143
                     42,                0.32811,                0.49926,                 1.1226,                0.90728,                0.90245,                0.95401,                0.87168,                0.50679,                0.53577,                0.89812,              0.0028371,              0.0028371,              0.0028371
                     43,                0.31977,                0.48252,                 1.1162,                0.91303,                0.90598,                0.95198,                 0.8617,                0.48613,                0.49546,                0.85066,                0.00276,                0.00276,                0.00276
                     44,                0.32141,                0.49913,                 1.1166,                0.93365,                0.90302,                0.95168,                0.87178,                0.47461,                0.50555,                0.85182,              0.0026829,              0.0026829,              0.0026829
                     45,                0.31515,                0.48871,                 1.1143,                0.92456,                0.91892,                0.95416,                0.86856,                0.48122,                0.47604,                0.84109,              0.0026057,              0.0026057,              0.0026057
                     46,                0.31214,                0.47329,                 1.1098,                0.93193,                0.90684,                0.95597,                0.87207,                0.46213,                0.47284,                0.81382,              0.0025286,              0.0025286,              0.0025286
                     47,                0.31297,                 0.4724,                 1.1105,                0.93787,                0.90524,                0.95832,                0.88063,                0.48276,                0.51189,                0.86112,              0.0024514,              0.0024514,              0.0024514
                     48,                0.31094,                0.47492,                 1.1102,                0.92248,                0.91598,                0.95839,                0.87952,                 0.4737,                0.49781,                0.83415,              0.0023743,              0.0023743,              0.0023743
                     49,                0.31437,                0.47292,                 1.1122,                0.91932,                0.91084,                0.95672,                0.87526,                0.49447,                 0.5038,                0.86569,              0.0022971,              0.0022971,              0.0022971
                     50,                0.30952,                0.46547,                 1.1106,                0.92572,                0.91941,                0.95805,                0.87936,                0.48562,                 0.4909,                0.86403,                0.00222,                0.00222,                0.00222
