                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4148,                 2.6885,                 1.3106,                0.25335,                0.23681,                0.13469,                0.08138,                 1.3556,                 2.5509,                 1.2496,              0.0053088,              0.0053088,              0.0053088
                     34,                 1.4258,                 2.7097,                 1.3204,                0.23144,                0.22092,                0.12432,                 0.0721,                 1.3609,                 2.5579,                 1.2642,              0.0052872,              0.0052872,              0.0052872
                     35,                 1.4188,                 2.6714,                 1.3057,                0.26996,                0.25083,                0.12612,                0.07298,                 1.3773,                 2.6275,                 1.2808,              0.0052656,              0.0052656,              0.0052656
                     36,                 1.3924,                 2.6529,                 1.3028,                0.66416,                0.13172,                0.15305,                 0.0915,                 1.3452,                 2.4701,                 1.2701,               0.005244,               0.005244,               0.005244
                     37,                 1.4037,                 2.6554,                 1.2945,                0.33685,                0.20476,                0.15553,                0.09463,                 1.3747,                 2.4538,                 1.2767,              0.0052224,              0.0052224,              0.0052224
                     38,                 1.3834,                 2.6226,                 1.2901,                0.21429,                0.26181,                 0.1675,                 0.1048,                 1.3558,                   2.48,                 1.2609,              0.0052008,              0.0052008,              0.0052008
                     39,                 1.4011,                 2.6419,                 1.3003,                0.44645,                0.21513,                0.15986,                0.09784,                 1.3707,                 2.4797,                 1.2633,              0.0051792,              0.0051792,              0.0051792
                     40,                 1.3712,                 2.5967,                 1.2743,                0.66038,                0.16427,                0.16232,                0.10079,                 1.3324,                 2.4919,                 1.2452,              0.0051576,              0.0051576,              0.0051576
                     41,                 1.3653,                 2.6148,                 1.2782,                0.34413,                0.24454,                0.16723,                0.10075,                 1.3451,                  2.397,                 1.2545,               0.005136,               0.005136,               0.005136
                     42,                 1.3736,                 2.6068,                 1.2925,                0.26668,                0.28359,                0.16803,                0.09992,                 1.3361,                 2.4719,                 1.2668,              0.0051144,              0.0051144,              0.0051144
                     43,                 1.3802,                  2.602,                 1.2942,                0.33478,                0.22355,                0.18063,                0.11843,                  1.349,                 2.4131,                 1.2555,              0.0050928,              0.0050928,              0.0050928
                     44,                 1.3753,                 2.6031,                  1.288,                0.34402,                0.24391,                0.19061,                0.11988,                 1.3315,                 2.4293,                 1.2621,              0.0050712,              0.0050712,              0.0050712
                     45,                 1.3792,                 2.5957,                 1.2843,                0.18637,                0.27767,                0.17296,                0.10791,                  1.333,                 2.5089,                 1.2552,              0.0050496,              0.0050496,              0.0050496
                     46,                 1.3752,                 2.5874,                 1.2814,                0.60589,                0.19758,                0.20694,                0.13293,                 1.3182,                 2.3954,                 1.2468,               0.005028,               0.005028,               0.005028
                     47,                 1.3634,                 2.5546,                 1.2778,                0.67548,                0.17209,                 0.1854,                0.11773,                 1.3159,                 2.4148,                 1.2347,              0.0050064,              0.0050064,              0.0050064
                     48,                 1.3598,                 2.5435,                 1.2653,                  0.221,                0.37866,                0.19216,                0.12118,                 1.3169,                 2.4254,                 1.2493,              0.0049848,              0.0049848,              0.0049848
                     49,                 1.3738,                 2.5824,                 1.2844,                0.19747,                0.29196,                0.18181,                0.11633,                 1.3197,                 2.3942,                 1.2424,              0.0049632,              0.0049632,              0.0049632
                     50,                 1.3486,                 2.5183,                 1.2679,                0.50456,                0.21166,                0.18967,                0.11335,                 1.3302,                 2.3924,                 1.2518,              0.0049416,              0.0049416,              0.0049416
                     51,                 1.3605,                 2.5672,                 1.2836,                0.20961,                0.30615,                0.19051,                 0.1206,                 1.3014,                 2.4302,                 1.2391,                0.00492,                0.00492,                0.00492
                     52,                 1.3494,                  2.516,                 1.2759,                 0.7113,                0.17308,                0.18349,                0.11456,                 1.3192,                  2.407,                  1.259,              0.0048984,              0.0048984,              0.0048984
                     53,                 1.3602,                  2.558,                 1.2707,                0.19917,                0.26557,                0.17529,                 0.1107,                 1.3218,                 2.3362,                 1.2398,              0.0048768,              0.0048768,              0.0048768
                     54,                 1.3533,                 2.5327,                 1.2765,                0.21029,                0.27649,                0.20023,                0.13678,                  1.331,                 2.4324,                 1.2612,              0.0048552,              0.0048552,              0.0048552
                     55,                 1.3458,                 2.5041,                 1.2643,                0.49045,                0.23084,                0.21066,                0.13655,                 1.2995,                 2.3286,                 1.2328,              0.0048336,              0.0048336,              0.0048336
                     56,                 1.3411,                 2.4842,                 1.2543,                0.19095,                0.31446,                0.19932,                0.12606,                 1.2853,                 2.3514,                 1.2218,               0.004812,               0.004812,               0.004812
                     57,                  1.338,                 2.5042,                 1.2711,                0.44418,                0.23105,                0.19238,                0.12696,                 1.3068,                 2.4617,                 1.2263,              0.0047904,              0.0047904,              0.0047904
                     58,                 1.3484,                  2.491,                 1.2573,                0.45562,                0.20029,                0.19879,                0.12708,                 1.3332,                 2.3689,                 1.2576,              0.0047688,              0.0047688,              0.0047688
                     59,                 1.3335,                 2.5021,                 1.2696,                0.29231,                0.26998,                0.20548,                0.12969,                 1.2893,                 2.3163,                 1.2286,              0.0047472,              0.0047472,              0.0047472
                     60,                 1.3295,                 2.4751,                 1.2549,                0.29344,                0.22144,                0.21629,                0.14116,                 1.3252,                 2.3516,                  1.241,              0.0047256,              0.0047256,              0.0047256
                     61,                 1.3412,                 2.4987,                 1.2589,                0.20765,                 0.2891,                0.21678,                0.14187,                 1.3153,                 2.3274,                 1.2382,               0.004704,               0.004704,               0.004704
                     62,                 1.3383,                 2.4873,                 1.2623,                0.48813,                0.21111,                0.21202,                0.13519,                 1.3036,                 2.3306,                 1.2389,              0.0046824,              0.0046824,              0.0046824
                     63,                 1.3172,                 2.4741,                 1.2573,                0.60104,                0.19431,                0.20969,                0.13325,                 1.2988,                 2.3637,                 1.2326,              0.0046608,              0.0046608,              0.0046608
                     64,                 1.3325,                 2.4851,                 1.2542,                0.60792,                0.18963,                0.22379,                0.14597,                 1.2982,                 2.3088,                 1.2346,              0.0046392,              0.0046392,              0.0046392
                     65,                 1.3252,                 2.4445,                 1.2501,                 0.6119,                  0.218,                0.21108,                0.13525,                 1.3246,                 2.2982,                 1.2446,              0.0046176,              0.0046176,              0.0046176
                     66,                 1.3299,                 2.4593,                 1.2602,                0.53824,                0.20796,                0.19788,                0.12672,                 1.3006,                 2.3192,                 1.2303,               0.004596,               0.004596,               0.004596
                     67,                 1.3285,                 2.4455,                 1.2671,                0.23313,                0.26723,                 0.1989,                0.12268,                 1.2791,                 2.2951,                 1.2291,              0.0045744,              0.0045744,              0.0045744
                     68,                 1.3106,                 2.4181,                 1.2507,                0.21495,                0.33286,                0.22174,                0.14104,                 1.2798,                 2.2779,                 1.2283,              0.0045528,              0.0045528,              0.0045528
                     69,                 1.3158,                 2.4231,                  1.246,                0.21508,                0.26146,                0.22112,                0.14262,                 1.2784,                 2.2374,                  1.224,              0.0045312,              0.0045312,              0.0045312
                     70,                 1.3053,                  2.433,                 1.2377,                0.22575,                0.32569,                0.21703,                0.14075,                 1.2888,                 2.2331,                 1.2331,              0.0045096,              0.0045096,              0.0045096
                     71,                  1.324,                 2.4221,                 1.2597,                0.23475,                0.26081,                0.21072,                0.13539,                 1.2869,                  2.325,                 1.2168,               0.004488,               0.004488,               0.004488
                     72,                 1.3206,                 2.4272,                 1.2485,                0.20705,                0.34268,                0.20934,                0.13383,                 1.2722,                  2.275,                 1.2211,              0.0044664,              0.0044664,              0.0044664
                     73,                 1.3077,                 2.4106,                 1.2485,                0.37928,                0.24067,                0.24106,                0.16045,                 1.2797,                 2.1957,                 1.2125,              0.0044448,              0.0044448,              0.0044448
                     74,                 1.3106,                 2.4202,                 1.2422,                0.21358,                0.37034,                0.21375,                 0.1371,                 1.2773,                  2.263,                 1.2282,              0.0044232,              0.0044232,              0.0044232
                     75,                 1.3165,                  2.397,                  1.237,                0.19312,                0.36357,                 0.2034,                0.13205,                 1.2959,                 2.3124,                  1.225,              0.0044016,              0.0044016,              0.0044016
                     76,                 1.3144,                 2.3795,                 1.2431,                0.36862,                0.26593,                0.23297,                0.15372,                 1.2949,                 2.2662,                  1.235,                0.00438,                0.00438,                0.00438
                     77,                 1.3161,                 2.3809,                 1.2417,                0.23979,                0.31116,                 0.2237,                0.14238,                 1.2645,                 2.1772,                 1.2243,              0.0043584,              0.0043584,              0.0043584
                     78,                 1.3018,                 2.3655,                 1.2352,                0.20579,                0.35164,                0.21164,                0.13683,                 1.2914,                 2.2698,                 1.2224,              0.0043368,              0.0043368,              0.0043368
                     79,                 1.2916,                 2.3593,                 1.2388,                0.21782,                0.38172,                 0.2101,                0.13275,                 1.2898,                 2.2403,                 1.2196,              0.0043152,              0.0043152,              0.0043152
                     80,                 1.2824,                 2.3484,                 1.2337,                0.19016,                0.34712,                0.23417,                0.15426,                 1.2791,                 2.1942,                 1.2215,              0.0042936,              0.0042936,              0.0042936
                     81,                 1.3132,                 2.3696,                 1.2528,                0.30518,                0.33385,                0.27126,                 0.1858,                 1.2911,                 2.2905,                 1.2248,               0.004272,               0.004272,               0.004272
                     82,                 1.2914,                 2.3632,                 1.2464,                0.39279,                0.21055,                0.22486,                0.14594,                 1.2818,                 2.4073,                  1.227,              0.0042504,              0.0042504,              0.0042504
                     83,                 1.2927,                 2.3679,                 1.2326,                0.55402,                0.20918,                0.22082,                0.14243,                 1.2829,                 2.1977,                 1.2256,              0.0042288,              0.0042288,              0.0042288
                     84,                 1.2966,                   2.34,                 1.2316,                0.26618,                 0.3208,                0.21233,                0.13708,                 1.2745,                 2.2888,                 1.2173,              0.0042072,              0.0042072,              0.0042072
                     85,                  1.294,                 2.3759,                 1.2334,                0.19673,                0.34958,                0.21655,                 0.1371,                 1.2837,                 2.2771,                 1.2269,              0.0041856,              0.0041856,              0.0041856
                     86,                  1.297,                 2.3395,                 1.2242,                0.19784,                0.35187,                0.20846,                0.13277,                 1.2957,                 2.3518,                 1.2279,               0.004164,               0.004164,               0.004164
                     87,                 1.2805,                 2.3431,                 1.2327,                0.19648,                0.36147,                0.22536,                0.14344,                 1.2635,                 2.2288,                  1.214,              0.0041424,              0.0041424,              0.0041424
                     88,                 1.2936,                 2.3517,                 1.2308,                0.41063,                0.22591,                0.21804,                0.14368,                 1.2697,                 2.1829,                 1.2114,              0.0041208,              0.0041208,              0.0041208
                     89,                  1.296,                 2.3527,                 1.2318,                0.33579,                0.24985,                0.22662,                0.15062,                  1.275,                 2.2906,                 1.2199,              0.0040992,              0.0040992,              0.0040992
                     90,                 1.2826,                 2.3438,                 1.2317,                0.16822,                0.34198,                 0.2073,                0.13567,                 1.2756,                 2.3025,                 1.2246,              0.0040776,              0.0040776,              0.0040776
                     91,                  1.289,                 2.3133,                 1.2279,                0.25211,                0.32161,                0.22939,                0.14908,                 1.2765,                 2.2955,                 1.2187,               0.004056,               0.004056,               0.004056
                     92,                 1.2719,                   2.31,                 1.2278,                0.21736,                0.35951,                0.23723,                0.16023,                 1.2504,                 2.2073,                 1.2082,              0.0040344,              0.0040344,              0.0040344
                     93,                 1.2994,                 2.3308,                 1.2338,                0.20889,                0.35001,                0.22456,                0.15091,                 1.2583,                 2.2843,                  1.215,              0.0040128,              0.0040128,              0.0040128
                     94,                 1.3143,                 2.3371,                 1.2386,                0.50157,                0.23185,                0.22702,                0.14776,                 1.2712,                 2.2466,                 1.2203,              0.0039912,              0.0039912,              0.0039912
                     95,                 1.2906,                 2.3103,                 1.2265,                 0.1684,                 0.3446,                0.23362,                0.14735,                 1.2585,                 2.2084,                 1.2144,              0.0039696,              0.0039696,              0.0039696
                     96,                 1.2874,                 2.3168,                 1.2221,                  0.244,                0.30056,                0.21995,                0.14352,                 1.2616,                 2.1726,                 1.2116,               0.003948,               0.003948,               0.003948
                     97,                 1.2948,                 2.3201,                  1.232,                0.20541,                0.34301,                0.22879,                0.14914,                 1.2644,                 2.2095,                 1.2153,              0.0039264,              0.0039264,              0.0039264
                     98,                  1.291,                  2.309,                 1.2311,                0.25604,                0.36651,                0.24039,                0.15475,                  1.261,                 2.2121,                 1.2071,              0.0039048,              0.0039048,              0.0039048
                     99,                  1.285,                 2.3016,                 1.2234,                0.22786,                0.42113,                0.25837,                0.16943,                 1.2624,                 2.2223,                 1.2119,              0.0038832,              0.0038832,              0.0038832
                    100,                  1.276,                 2.2809,                 1.2283,                0.28263,                0.30338,                0.24871,                0.16187,                 1.2614,                 2.2416,                 1.2052,              0.0038616,              0.0038616,              0.0038616
                    101,                 1.2818,                 2.2657,                 1.2165,                0.31313,                0.32029,                0.24125,                0.15391,                 1.2532,                 2.1956,                 1.2045,                0.00384,                0.00384,                0.00384
