                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3154,                 5.1322,                 3.9211,                0.00031,                0.00482,                0.00018,                  3e-05,                 2.2132,                 4.9354,                 3.7931,               0.068698,               0.001998,               0.001998
                      1,                 2.3139,                 5.0162,                 3.6902,                0.01138,                0.01775,                0.00723,                 0.0011,                 2.2124,                 4.5612,                 3.5889,               0.036645,              0.0032784,              0.0032784
                      2,                 2.2214,                 4.8977,                 3.4441,                 0.0048,                0.15805,                0.00726,                0.00216,                 2.1121,                 4.1918,                 3.3487,              0.0038719,              0.0038387,              0.0038387
                      3,                  2.084,                 4.7534,                 3.1953,                0.88041,                0.00815,                0.01728,                0.00531,                 1.9467,                 4.0183,                 3.1052,                0.00276,                0.00276,                0.00276
                      4,                 1.9925,                 4.6416,                 3.0173,                0.33068,                 0.0574,                0.03885,                0.01683,                 1.8458,                 3.8225,                  2.994,                0.00276,                0.00276,                0.00276
