                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5489,                 2.6718,                 2.7731,                0.58016,                0.78979,                0.68493,                0.55587,                0.74885,                 1.2122,                 1.3457,               0.010143,              0.0099841,              0.0099841
                      1,                0.63005,                  1.168,                 1.3758,                 0.6602,                0.88815,                0.73136,                0.64765,                0.52168,                0.80891,                0.99737,                0.00802,                0.00802,                0.00802
                      2,                0.51695,                0.91958,                 1.2518,                 0.7179,                0.85808,                0.83395,                0.73047,                0.45776,                0.67514,                0.97802,                0.00802,                0.00802,                0.00802
                      3,                0.45336,                0.80417,                  1.197,                0.86824,                0.83184,                0.88678,                0.77714,                0.46313,                0.60746,                0.89221,                0.00604,                0.00604,                0.00604
                      4,                0.41514,                0.72215,                 1.1663,                0.86849,                0.88213,                0.92483,                0.81925,                0.45017,                0.55648,                0.83953,                0.00406,                0.00406,                0.00406
